1	NC_000001.11
HG460_PATCH	NW_019805487.1
HG1343_HG173_HG459_PATCH	NW_025791756.1
HG2571_PATCH	NW_025791757.1
HG2515_PATCH	NW_025791758.1
HG2577_PATCH	NW_025791759.1
HSCHR1_3_CTG3	NW_014040925.1
HSCHR1_4_CTG3	NW_014040926.1
HSCHR1_5_CTG32_1	NW_014040927.1
HSCHR1_5_CTG3	NW_015495298.1
HSCHR1_6_CTG3	NW_017852928.1
HSCHR1_8_CTG3	NW_018654706.1
HSCHR1_9_CTG3	NW_018654707.1
HSCHR1_12_CTG3	NW_025791753.1
HSCHR1_5_CTG31	NW_025791754.1
HSCHR1_6_CTG31	NW_025791755.1
HG2233_PATCH	NW_011332689.1
HG2232_PATCH	NW_011332690.1
HG2290_PATCH	NW_012132915.1
HG721_PATCH	NW_021159987.1
HG1384_PATCH	NW_021159988.1
HG2494_PATCH	NW_025791764.1
HG2275_PATCH	NW_025791765.1
HG2052_PATCH	NW_025791766.1
HG2231_HG2496_PATCH	NW_025791767.1
HG2140_PATCH	NW_025791768.1
HSCHR2_6_CTG7_2	NW_015495299.1
HSCHR2_7_CTG7_2	NW_018654709.1
HSCHR2_8_CTG7_2	NW_018654710.1
HSCHR2_10_CTG7_2	NW_025791760.1
HSCHR2_11_CTG7_2	NW_025791761.1
HSCHR2_12_CTG7_2	NW_025791762.1
HSCHR2_6_CTG1	NW_025791763.1
HG2066_PATCH	NW_009646197.1
HG2022_PATCH	NW_009646198.1
HG126_PATCH	NW_011332691.1
HG2235_PATCH	NW_012132916.1
HG2237_PATCH	NW_012132917.1
HG2236_PATCH	NW_017363813.1
HG2133_PATCH	NW_019805491.1
HG2264_PATCH	NW_025791769.1
HG2077_PATCH	NW_025791770.1
HG2069_PATCH	NW_025791771.1
HSCHR3_4_CTG1	NW_018654711.1
HSCHR3_7_CTG2_1	NW_019805488.1
HSCHR3_8_CTG2_1	NW_019805489.1
HSCHR3_9_CTG2_1	NW_019805490.1
HSCHR3_6_CTG2_1	NW_019805492.1
HSCHR3_5_CTG1	NW_021159989.1
HG2023_PATCH	NW_015495300.1
HG699_PATCH	NW_021159990.1
HG2525_PATCH	NW_021159991.1
HG1299_PATCH	NW_021159992.1
HG1298_PATCH	NW_021159993.1
HG1296_PATCH	NW_021159994.1
HG705_PATCH	NW_021159995.1
HG2155_PATCH	NW_025791773.1
HG287_PATCH	NW_025791774.1
HSCHR4_2_CTG4	NW_013171799.1
HSCHR4_8_CTG12	NW_013171800.1
HSCHR4_9_CTG12	NW_013171801.1
HSCHR4_11_CTG12	NW_015495301.1
HSCHR4_12_CTG12	NW_017363814.1
HSCHR4_2_CTG8_1	NW_025791772.1
HG30_PATCH	NW_016107298.1
HG1395_PATCH	NW_021159996.1
HG1046_PATCH	NW_025791775.1
HG2476_PATCH	NW_025791776.1
HG2405_PATCH	NW_025791777.1
HG2308_PATCH	NW_025791778.1
HSCHR5_7_CTG1	NW_009646199.1
HSCHR5_8_CTG1	NW_016107297.1
HSCHR5_9_CTG1	NW_018654712.1
HSCHR5_10_CTG1	NW_025791779.1
HG2128_PATCH	NW_009646200.1
HG1651_PATCH	NW_012132918.1
HG2072_PATCH	NW_013171802.1
HG2121_PATCH	NW_017363815.1
HG2057_PATCH	NW_018654713.1
HG563_PATCH	NW_021159997.1
HSCHR6_1_CTG10	NW_013171803.1
HSCHR6_1_CTG1	NW_025791780.1
HG2239_PATCH	NW_012132919.1
HG2088_PATCH	NW_017852929.1
HG2266_PATCH	NW_017852930.1
HG708_PATCH	NW_018654714.1
HG1309_PATCH	NW_021159998.1
HSCHR7_3_CTG4_4	NW_018654715.1
HSCHR7_3_CTG1	NW_019805493.1
HSCHR7_4_CTG1	NW_025791781.1
HG2067_PATCH	NW_017852931.1
HG2068_PATCH	NW_017852932.1
HG2419_PATCH	NW_018654716.1
HG76_PATCH	NW_018654717.1
HG2176_PATCH	NW_025791782.1
HG1047_PATCH	NW_025791783.1
HG2408_PATCH	NW_025791784.1
HG2267_PATCH	NW_025791785.1
HG2031_PATCH	NW_025791786.1
HSCHR8_7_CTG7	NW_019805494.1
HG2030_PATCH	NW_009646201.1
HG613_PATCH	NW_021159999.1
HG2158_PATCH	NW_025791787.1
HG1012_PATCH	NW_025791788.1
HG1206_PATCH	NW_025791789.1
HSCHR9_1_CTG6	NW_013171804.1
HSCHR9_1_CTG7	NW_013171805.1
HG2191_PATCH	NW_009646202.1
HG2241_PATCH	NW_011332692.1
HG2242_HG2243_PATCH	NW_011332693.1
HG2244_HG2245_PATCH	NW_011332694.1
HG2334_PATCH	NW_013171807.1
HG545_PATCH	NW_021160000.1
HG1277_PATCH	NW_021160001.1
HG2576_PATCH	NW_025791790.1
HSCHR10_1_CTG6	NW_013171806.1
HG2217_PATCH	NW_009646203.1
HG2116_PATCH	NW_013171808.1
HG107_HG2565_PATCH	NW_015148966.2
HG1708_PATCH	NW_017363816.1
HG2060_PATCH	NW_019805495.1
HG2114_PATCH	NW_019805496.1
HG1521_PATCH	NW_021160002.1
HG1445_PATCH	NW_021160003.1
HG28_PATCH	NW_021160004.1
HG2115_PATCH	NW_021160005.1
HG2111_PATCH	NW_021160006.1
HG152_PATCH	NW_025791792.1
HG2568_PATCH	NW_025791793.1
HG2578_PATCH	NW_025791794.1
HSCHR11_1_CTG1_2	NW_011332695.1
HSCHR11_2_CTG8	NW_019805497.1
HSCHR11_1_CTG3_1	NW_019805498.1
HSCHR11_2_CTG3_1	NW_025791791.1
HG23_PATCH	NW_009646204.1
HG1362_PATCH	NW_011332696.1
HG2247_PATCH	NW_011332697.1
HG2063_PATCH	NW_015148967.1
HG1815_PATCH	NW_018654718.1
HG2047_PATCH	NW_018654719.1
HG2246_HG2248_HG2276_PATCH	NW_021160007.1
HG1398_PATCH	NW_021160008.1
HG2554_PATCH	NW_025791795.1
HSCHR12_2_CTG1	NW_013171809.1
HSCHR12_8_CTG2_1	NW_018654720.1
HSCHR12_9_CTG2_1	NW_019805499.1
HG2216_PATCH	NW_009646205.1
HG2288_HG2289_PATCH	NW_011332698.1
HG2291_PATCH	NW_011332699.1
HG2249_PATCH	NW_011332700.1
HG1817_1_PATCH	NW_021160009.1
HG1523_PATCH	NW_021160010.1
HG1524_PATCH	NW_021160011.1
HG2509_PATCH	NW_021160012.1
HSCHR13_1_CTG7	NW_013171810.1
HSCHR13_1_CTG8	NW_013171811.1
HG1_PATCH	NW_018654722.1
HG2510_PATCH	NW_021160013.1
HG2526_HG2573_PATCH	NW_025791796.1
HSCHR14_8_CTG1	NW_018654721.1
HSCHR14_9_CTG1	NW_021160014.1
HG2139_PATCH	NW_011332701.1
HG2499_PATCH	NW_021160015.1
HG2198_PATCH	NW_021160016.1
HG2365_PATCH	NW_021160017.1
HG2511_PATCH	NW_021160018.1
HG2280_PATCH	NW_025791797.1
HSCHR15_6_CTG8	NW_012132920.1
HSCHR15_9_CTG8	NW_025791798.1
HG926_PATCH	NW_017852933.1
HG2263_PATCH	NW_019805500.1
HG2471_PATCH	NW_021160019.1
HG401_PATCH	NW_025791799.1
HG405_PATCH	NW_025791800.1
HSCHR16_3_CTG3_1	NW_012132921.1
HSCHR16_5_CTG1	NW_013171812.1
HSCHR16_4_CTG3_1	NW_013171813.1
HSCHR16_5_CTG3_1	NW_018654723.1
HG2046_PATCH	NW_016107299.1
HG2285_HG106_HG2252_PATCH	NW_017363817.1
HG2087_PATCH	NW_021160020.1
HG1320_PATCH	NW_021160021.1
HG2118_PATCH	NW_025791802.1
HG2407_PATCH	NW_025791803.1
HG2251_PATCH	NW_025791804.1
HG1369_PATCH	NW_025791805.1
HG2580_PATCH	NW_025791806.1
HSCHR17_11_CTG4	NW_017363818.1
HSCHR17_3_CTG1	NW_017363819.1
HSCHR17_12_CTG4	NW_019805501.1
HSCHR17_13_CTG4	NW_025791801.1
HG2213_PATCH	NW_013171814.1
HG2442_PATCH	NW_018654724.1
HG2412_PATCH	NW_019805502.1
HSCHR18_5_CTG1_1	NW_014040928.1
HSCHR18_1_CTG1	NW_019805503.1
HG2021_PATCH	NW_009646206.1
HG26_PATCH	NW_014040929.1
HG109_PATCH	NW_021160022.1
HG2461_PATCH	NW_025791807.1
HG2569_PATCH	NW_025791808.1
HG2469_PATCH	NW_025791809.1
HSCHR19KIR_0019-4656-A_CTG3_1	NW_016107300.1
HSCHR19KIR_CA01-TA01_1_CTG3_1	NW_016107301.1
HSCHR19KIR_CA01-TA01_2_CTG3_1	NW_016107302.1
HSCHR19KIR_CA01-TB04_CTG3_1	NW_016107303.1
HSCHR19KIR_CA01-TB01_CTG3_1	NW_016107304.1
HSCHR19KIR_HG2394_CTG3_1	NW_016107305.1
HSCHR19KIR_502960008-2_CTG3_1	NW_016107306.1
HSCHR19KIR_502960008-1_CTG3_1	NW_016107307.1
HSCHR19KIR_0010-5217-AB_CTG3_1	NW_016107308.1
HSCHR19KIR_7191059-1_CTG3_1	NW_016107309.1
HSCHR19KIR_0019-4656-B_CTG3_1	NW_016107310.1
HSCHR19KIR_CA04_CTG3_1	NW_016107311.1
HSCHR19KIR_HG2393_CTG3_1	NW_016107312.1
HSCHR19KIR_7191059-2_CTG3_1	NW_016107313.1
HSCHR19KIR_HG2396_CTG3_1	NW_016107314.1
HSCHR19_6_CTG2	NW_025791810.1
HG2225_PATCH	NW_025791811.1
HG410_PATCH	NW_025791812.1
HG2513_PATCH	NW_021160023.1
HG2219_PATCH	NW_025791813.1
HG2265_PATCH	NW_025791814.1
HG2521_PATCH	NW_025791815.1
HG1311_HG2539_PATCH	NW_015148969.2
HG1485_PATCH	NW_021160024.1
HG494_PATCH	NW_021160025.1
HG2512_PATCH	NW_021160026.1
HSCHR22_4_CTG1	NW_009646207.1
HSCHR22_5_CTG1	NW_009646208.1
HSCHR22_6_CTG1	NW_014040930.1
HSCHR22_7_CTG1	NW_014040931.1
HSCHR22_8_CTG1	NW_015148968.1
HG439_PATCH	NW_021160027.1
HG1506_PATCH	NW_021160028.1
HG1507_PATCH	NW_021160029.1
HG1509_PATCH	NW_021160030.1
HG1466_PATCH	NW_021160031.1
HG2527_PATCH	NW_025791816.1
HG2541_PATCH	NW_025791817.1
HSCHRX_3_CTG7	NW_017363820.1
HSCHRX_1_CTG14	NW_025791818.1
HSCHRX_2_CTG14	NW_025791819.1
HSCHRX_3_CTG3	NW_025791820.1
HG2062_PATCH	NW_009646209.1
HG1531_PATCH	NW_018654725.1
HG1535_PATCH	NW_018654726.1
HG1532_PATCH	NW_025791821.1
HSCHR1_1_CTG31	NW_003315905.1
HSCHR1_2_CTG31	NW_003315906.1
HSCHR1_3_CTG31	NW_003315907.2
HSCHR1_1_CTG32_1	NT_187516.1
HSCHR1_1_CTG11	NT_187514.1
HSCHR1_2_CTG32_1	NT_187518.1
HSCHR1_1_CTG3	NT_187515.1
HSCHR1_3_CTG32_1	NT_187519.1
HSCHR1_4_CTG32_1	NT_187521.1
HSCHR1_4_CTG31	NT_187520.1
HSCHR1_2_CTG3	NT_187517.1
HSCHR2_1_CTG5	NW_003315908.1
HSCHR2_1_CTG7_2	NW_003315909.1
HSCHR2_2_CTG7_2	NW_003571033.2
HSCHR2_1_CTG15	NT_187523.1
HSCHR2_3_CTG7_2	NT_187528.1
HSCHR2_1_CTG1	NT_187522.1
HSCHR2_2_CTG1	NT_187525.1
HSCHR2_4_CTG7_2	NT_187530.1
HSCHR2_1_CTG7	NT_187524.1
HSCHR2_3_CTG1	NT_187526.1
HSCHR2_4_CTG1	NT_187529.1
HSCHR2_5_CTG7_2	NT_187531.1
HSCHR2_3_CTG15	NT_187527.1
HSCHR3_1_CTG2_1	NW_003315913.1
HSCHR3_1_CTG1	NW_003871060.2
HSCHR3_2_CTG2_1	NT_187533.1
HSCHR3_3_CTG2_1	NT_187536.1
HSCHR3_1_CTG3	NT_187532.1
HSCHR3_4_CTG2_1	NT_187537.1
HSCHR3_5_CTG2_1	NT_187538.1
HSCHR3_2_CTG3	NT_187534.1
HSCHR3_3_CTG1	NT_187535.1
HSCHR3_9_CTG3	NT_187539.1
HSCHR4_1_CTG9	NT_167250.2
HSCHR4_1_CTG12	NW_003315914.1
HSCHR4_1_CTG6	NW_003315915.1
HSCHR4_2_CTG12	NT_187542.1
HSCHR4_3_CTG12	NT_187543.1
HSCHR4_1_CTG8_1	NT_187541.1
HSCHR4_4_CTG12	NT_187544.1
HSCHR4_5_CTG12	NT_187545.1
HSCHR4_1_CTG4	NT_187540.1
HSCHR5_2_CTG1_1	NW_003315917.2
HSCHR5_3_CTG1_1	NW_003315918.1
HSCHR5_1_CTG5	NW_003315919.1
HSCHR5_1_CTG1	NW_003315920.1
HSCHR5_2_CTG1	NW_003571036.1
HSCHR5_3_CTG1	NT_187547.1
HSCHR5_4_CTG1	NT_187548.1
HSCHR5_5_CTG1	NT_187550.1
HSCHR5_6_CTG1	NT_187551.1
HSCHR5_2_CTG5	NT_187546.1
HSCHR5_4_CTG1_1	NT_187549.1
HSCHR6_MHC_APD_CTG1	NT_167244.2
HSCHR6_1_CTG2	NW_003315921.1
HSCHR6_1_CTG3	NW_004166862.2
HSCHR6_1_CTG4	NT_187552.1
HSCHR6_1_CTG5	NT_187553.1
HSCHR6_1_CTG6	NT_187554.1
HSCHR6_1_CTG7	NT_187555.1
HSCHR6_1_CTG8	NT_187556.1
HSCHR6_1_CTG9	NT_187557.1
HSCHR7_1_CTG6	NW_003315922.2
HSCHR7_2_CTG6	NT_187562.1
HSCHR7_1_CTG1	NT_187558.1
HSCHR7_1_CTG7	NT_187560.1
HSCHR7_1_CTG4_4	NT_187559.1
HSCHR7_2_CTG7	NT_187563.1
HSCHR7_3_CTG6	NT_187564.1
HSCHR7_2_CTG4_4	NT_187561.1
HSCHR8_1_CTG7	NT_187567.1
HSCHR8_1_CTG1	NT_187565.1
HSCHR8_2_CTG1	NT_187568.1
HSCHR8_3_CTG1	NT_187570.1
HSCHR8_1_CTG6	NT_187566.1
HSCHR8_2_CTG7	NT_187569.1
HSCHR8_3_CTG7	NT_187571.1
HSCHR8_4_CTG7	NT_187573.1
HSCHR8_4_CTG1	NT_187572.1
HSCHR8_5_CTG7	NT_187574.1
HSCHR8_6_CTG7	NT_187575.1
HSCHR8_8_CTG1	NT_187576.1
HSCHR8_9_CTG1	NT_187577.1
HSCHR9_1_CTG1	NW_003315928.1
HSCHR9_1_CTG2	NW_003315929.1
HSCHR9_1_CTG3	NW_003315930.1
HSCHR9_1_CTG4	NW_003315931.1
HSCHR9_1_CTG5	NT_187578.1
HSCHR10_1_CTG1	NW_003315934.1
HSCHR10_1_CTG2	NW_003315935.1
HSCHR10_1_CTG3	NT_187579.1
HSCHR10_1_CTG4	na
HSCHR11_1_CTG1_1	NW_003315936.1
HG142_HG150_NOVEL_TEST	NW_003871073.1
HG151_NOVEL_TEST	NW_003871074.1
HSCHR11_1_CTG2	NT_187581.1
HSCHR11_1_CTG3	NT_187582.1
HSCHR11_1_CTG5	NT_187583.1
HSCHR11_1_CTG6	NT_187584.1
HSCHR11_1_CTG7	NT_187585.1
HSCHR11_1_CTG8	NT_187586.1
